,0
521,0.766
522,0.82
523,0.82
524,0.6759999999999999
525,0.0
526,0.0
527,0.0
528,0.0
529,0.586
530,0.766
531,0.0
532,0.0
533,0.0
534,0.0
535,0.20799999999999996
536,0.874
537,0.29799999999999993
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.44199999999999995
545,0.874
546,0.838
547,0.55
548,0.0
549,0.838
550,0.55
551,0.0
552,0.29799999999999993
553,0.3879999999999999
554,0.0
555,0.766
556,0.0
557,0.856
558,0.604
559,0.784
560,0.784
561,0.712
562,0.42399999999999993
563,0.622
564,0.478
565,0.802
566,0.0
567,0.73
568,0.0
569,0.0
570,0.0
571,0.0
572,0.31599999999999995
573,0.0
574,0.17199999999999993
575,0.784
576,0.0
577,0.6579999999999999
578,0.0
579,0.0
580,0.6759999999999999
581,0.0
582,0.0
583,0.874
584,0.244
585,0.0
586,0.784
587,0.874
588,0.0
589,0.45999999999999996
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.29799999999999993
597,0.0
598,0.5680000000000001
599,0.0
600,0.784
601,0.18999999999999995
602,0.838
603,0.37
604,0.514
605,0.0
606,0.604
607,0.0
608,0.45999999999999996
609,0.0
610,0.55
611,0.874
612,0.0
613,0.802
614,0.0
615,0.352
616,0.0
617,0.0
618,0.874
619,0.0
620,0.6759999999999999
621,0.0
622,0.0
623,0.5680000000000001
624,0.766
625,0.784
626,0.44199999999999995
627,0.0
628,0.0
629,0.20799999999999996
630,0.0
631,0.0
632,0.6759999999999999
633,0.0
634,0.0
635,0.802
636,0.514
637,0.6579999999999999
638,0.6579999999999999
639,0.0
640,0.0
641,0.0
642,0.622
643,0.784
644,0.0
645,0.0
646,0.0
647,0.0
648,0.44199999999999995
649,0.29799999999999993
650,0.0
651,0.6399999999999999
652,0.0
653,0.55
654,0.118
655,0.0
656,0.17199999999999993
657,0.0
658,0.766
659,0.0
660,0.0
661,0.0
662,0.0
663,0.42399999999999993
664,0.838
665,0.856
666,0.604
667,0.0
668,0.6579999999999999
669,0.0
670,0.712
671,0.0
672,0.29799999999999993
673,0.0
674,0.0
675,0.31599999999999995
676,0.6579999999999999
677,0.0
678,0.55
679,0.784
680,0.0
681,0.0
682,0.514
683,0.0
684,0.4059999999999999
685,0.22599999999999998
686,0.0
687,0.0
688,0.0
689,0.6579999999999999
690,0.42399999999999993
691,0.0
692,0.244
693,0.82
694,0.0
695,0.766
696,0.20799999999999996
697,0.22599999999999998
698,0.0
699,0.6579999999999999
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.6759999999999999
706,0.0
707,0.856
708,0.352
709,0.0
710,0.0
711,0.73
712,0.118
713,0.784
714,0.784
715,0.0
716,0.0
717,0.0
718,0.694
719,0.45999999999999996
720,0.0
721,0.0
722,0.838
723,0.478
724,0.15400000000000003
725,0.6759999999999999
726,0.20799999999999996
727,0.748
728,0.09999999999999998
729,0.55
730,0.0
731,0.42399999999999993
732,0.0
733,0.09999999999999998
734,0.802
735,0.33399999999999996
736,0.802
737,0.0
738,0.532
739,0.0
740,0.0
741,0.0
742,0.0
743,0.838
744,0.0
745,0.0
746,0.856
747,0.22599999999999998
748,0.0
749,0.0
750,0.31599999999999995
751,0.766
752,0.6399999999999999
753,0.0
754,0.766
755,0.2799999999999999
756,0.0
757,0.0
